,name,count,gbr_id,ofac_id
426,Salim BENGHALEM,2,13321,17294
427,Than HLAING,2,14057,31474
428,Elias Jose JAUA MILANO,2,13688,22748
429,Abdoulaye HISSENE,2,13458,20900
430,Mahri Sidi Amar BEN DAHA,2,13801,27155
431,Hamid Raja Shalah AL-TIKRITI,2,7622,7859
432,Saja Barzan Ibrahim Hasan AL-TIKRITI,2,8255,8194
433,Bassam HANNA,2,12769,15221
434,Fared SAAL,2,13490,21643
435,Hamed ABDOLLAHI,2,12205,12930
436,Mohsen HOJATI,2,9053,10856
437,Gustavo Enrique GONZALEZ LOPEZ,2,13581,17810
438,Rafael Antonio FRANCO QUINTERO,2,13795,27042
439,Luis Eduardo PARRA RIVERO,2,13849,28308
440,Ahmad Iman ALI,2,13618,23924
441,Nasiruddin HAQQANI,2,11206,12129
442,Jamal Mustafa Abdallah Sultan AL-TIKRITI,2,7624,7864
443,Mevlut KAR,2,12502,13059
444,Abu Bakr Yunis JABIR,2,11658,12634
445,Mu'tassim Yahya 'Ali AL-RUMAYSH,2,13294,18589
446,Hossein ALLAHKARAM,2,11778,24590
447,Soe WIN,2,13898,27226
448,Wiji Joko SANTOSO,2,13244,17276
449,Leodomir MUGARAGU,2,11279,12328
450,Taha Muhyi-al-Din MA'RUF,2,7617,7866
451,Adel Anwar AL-OLABI,2,13821,29045
452,Mahmoud Mohammad Ahmed BAHAZIQ,2,9218,10692
453,Mohammad Ibrahim AL-SHAAR,2,12421,12740
454,Dmitry Anatolievich BELIK,2,13392,20920
455,Parlindungan SIREGAR,2,7838,7927
456,Ezzatollah ZARGHAMI,2,12646,15553
457,Sergey Valeryevich AKSYONOV,2,12922,16642
458,Aleksandr Yurievich TIMOFEEV,2,13208,23582
459,Yevgeniy Viktorovich PRIGOZHIN,2,13968,21171
460,Mikhail Sergeyevich SHEREMET,2,13100,20272
461,Kuk-Ryol O,2,11034,15771
462,Samira SHAHBANDAR,2,8258,8197
463,Maung Maung SOE,2,13682,23278
464,Chol Nam KIM,2,13588,20604
465,Kinda AL-SHAMMAT,2,12989,16231
466,Sergei Vladilenovich KIRIYENKO,2,13970,31123
467,Ali Akbar AHMADIAN,2,9058,10480
468,Ahmad Hassan Mohammed AL ASIRI,2,13894,31162
469,Jose Gregorio NORIEGA FIGUEROA,2,13851,28307
470,Abdul Rosyid Ridho BA'ASYIR,2,12628,13097
471,Yassine CHEKKOURI,2,7105,7253
472,Andrey Vladimirovich CHEREZOV,2,13521,23545
473,Said Jan 'ABD AL-SALAM,2,11634,12562
474,Ahmed AG ALBACHAR,2,13799,27583
475,Sab'awi Ibrahim Hassan AL-TIKRITI,2,7610,7878
476,Aung AUNG,2,13686,27224
477,Barzan Ibrahim Hassan AL-TIKRITI,2,7608,7880
478,Delcy Eloina RODRIGUEZ GOMEZ,2,13687,25077
479,Germain KATANGA,2,8735,11975
480,Mokhtar BELMOKHTAR,2,7881,8084
481,Sergei Vladimirovich ZHELEZNYAK,2,12920,16668
